nom_scientifique;cout_entretien;frequence_taille;ecorce_decorative;couleur_automnale;floraison_remarquable;resistance_secheresse;branches_fragiles;fruits_salissants;sol_texture;sol_acidity;sol_drainage;ombrage_fort;sensibilite_maladies
Abelia chinensis 'Minabaut01' AUTUMN FESTIVAL®;low;medium;;;;oui;;;Loam (Silt);"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);Deer and rabbit resistant
Abelia x grandiflora 'Minabcris01' CRISTAL CHARM® ( CHARM® series );low;medium;oui;oui;oui;oui;;;Clay;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);drought, pollution, deer
Abeliophyllum distichum ( Roseum Group );low;rapid;;oui;;oui;;;Clay;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);drought
Abies concolor 'Violacea';low;slow;;;;oui;;;Clay;"Acid (&lt;6.0)";Good Drainage;Dappled Sunlight (Shade through upper canopy all day);
Acanthus mollis ( Latifolius Group ) 'Sjaak';high;rapid;;;oui;oui;;;Clay;;Good Drainage;Full sun (6 or more hours of direct sunlight a day);
Acer buergerianum;low;medium;oui;oui;;oui;;;Clay;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);
Acer campestre 'Ruijgrok' STREET PILLAR;low;slow;;oui;;oui;;;Clay;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);Tolerate of dry soils and compaction also air pollution tolerant
Acer capillipes;low;medium;;oui;;;;;;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);Heat tolerant
Acer cappadocicum 'De Oirsprong';low;rapid;;oui;;;;;High Organic Matter;"Acid (&lt;6.0)";Good Drainage;Full sun (6 or more hours of direct sunlight a day);
Acer crataegifolium;;;oui;oui;;;;;;;Good Drainage;Dappled Sunlight (Shade through upper canopy all day);
Acer davidii ( Hersii Group );medium;rapid;oui;oui;;;;;Clay;Neutral (6.0-8.0);Good Drainage;Partial Shade (Direct sunlight only part of the day, 2-6 hours);
