nom_scientifique;origine;wcvp_id
Abelia chinensis 'Minabaut01' AUTUMN FESTIVAL®;Vraiment exotique;2609453
Abelia x grandiflora 'Minabtcm16' PSYCHEDELIK®;Vraiment exotique;existing
Abelia macrotera var. engleriana;Vraiment exotique;2609482
Abeliophyllum distichum ( Roseum Group );Vraiment exotique;360127
Abies alba;Indigène;381621
Abies balsamea 'Nana';Vraiment exotique;381647
Abies concolor 'Violacea';Vraiment exotique;381713
Abies grandis;Vraiment exotique;381804
Abies homolepis;Vraiment exotique;381829
Abies koreana 'Blauer Pfiff';Vraiment exotique;381844
Abies nordmanniana 'Pendula';Vraiment exotique;381919
Abies pinsapo 'Glauca';Indigène en Europe de l'Ouest mais pas en HDF/BeNeLux;381963
Abies procera 'Hupp's Dwarf';Vraiment exotique;381974
Abies veitchii;Vraiment exotique;382044
Abutilon grandifolium;Vraiment exotique;2610654
Acacia acinacea;Vraiment exotique;2611102
Acacia boormanii;Vraiment exotique;2611472
Acacia dealbata 'Rêve d'Or';Vraiment exotique;2611879
Acacia floribunda 'Cartif' PALME D'OR®;Vraiment exotique;2612237
Acacia longifolia;Vraiment exotique;2612825
Acacia minutifolia;Vraiment exotique;2613024
Acacia retinodes 'Lisette';Vraiment exotique;2613616
Acaena buchananii;Vraiment exotique;2937887
Acaena inermis 'Purpurea';Vraiment exotique;2938291
Acaena magellanica;Vraiment exotique;2938368
Acaena microphylla 'Braune Feder';Vraiment exotique;2938384
Acaena novae-zelandiae;Vraiment exotique;2938419
Acanthus hungaricus 'White Lips';Indigène en Europe de l'Ouest mais pas en HDF/BeNeLux;2615256
Acanthus mollis ( Latifolius Group ) 'Sjaak';Indigène en Europe de l'Ouest mais pas en HDF/BeNeLux;2615276
Acanthus spinosus;Indigène en Europe de l'Ouest mais pas en HDF/BeNeLux;2615301
Acer buergerianum;Vraiment exotique;2615419
Acer campestre 'Ruijgrok' STREET PILLAR;Indigène;2615447
Acer capillipes;Vraiment exotique;2615472
Acer cappadocicum 'De Oirsprong';Vraiment exotique;2615475
Acer carpinifolium;Vraiment exotique;2615502
Acer crataegifolium;Vraiment exotique;2615559
Acer davidii ( Hersii Group );Vraiment exotique;2615577
Acer x freemanii 'JFS KW78' JFS ARMSTRONG GOLD®;Vraiment exotique;2615647
Acer griseum;Vraiment exotique;2615692
Acer henryi;Vraiment exotique;2615711
Acer japonicum 'Vitifolium';Vraiment exotique;2615790
Acer monspessulanum;Indigène;2615976
Acer negundo 'Winter Lightning';Vraiment exotique;2616024
Acer obtusifolium;Indigène en Europe de l'Ouest mais pas en HDF/BeNeLux;2616102
Acer opalus;Indigène;2616113
Acer palmatum;Vraiment exotique;2616153
Acer pectinatum subsp. laxiflorum;Vraiment exotique;2606054
Acer pensylvanicum;Vraiment exotique;2616210
Acer platanoides 'Mauritz Upright';Indigène;2616254
Acer pseudoplatanus 'Hermitage';Indigène;2616276
Acer rubrum 'Frank Jr' REDPOINTE®;Vraiment exotique;2616329
Acer rufinerve;Vraiment exotique;2616360
Acer saccharinum 'Pyramidale';Vraiment exotique;2616367
Acer saccharum 'Newton Sentry';Vraiment exotique;2616387
Acer shirasawanum 'Munn 001' MOONRISE;Vraiment exotique;2616452
Acer sieboldianum;Vraiment exotique;2616457
