ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
1,Abbott et al. 1991,Agropyron cristatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75,0.6,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,0.63,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaClLo,M,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
2,Abbott et al. 1991,Artemisia tridentata ssp. wyomingensis,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.75,0.45,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,0.83,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
3,Abbott et al. 1991,Chrysothamnus viscidiflorus,,Asteraceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,1,0.5,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,1,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,E of Idaho Falls; ID (INEL),43.52,-112.05,27.087,1441,sandy loam to clay,SaClLo,M,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
4,Abbott et al. 1991,Elymus elymoides,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.5,0.6,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,0.42,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
5,Abbott et al. 1991,Elymus lanceolatus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75,0.8,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,0.47,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,Cl,F,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
6,Abbott et al. 1991,Leymus cinereus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1,0.9,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,0.56,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
7,Adams 1967,Acacia seyal,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.2,8,NA,NA,NA,NA,NA,160.85,NA,NA,NA,NA,0.08,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,13.15,34.33,47.244,439,clay,Cl,F,NA,301.11,15.13,73.82,198.06,310.95,290.45,20.5,300.08,300.25,303.75,299.0333,0.178,0,134.5661,0.414,0,0.114,0,0.62,2.237,0.28,0.018,1,11,0.018,1.702,D,S,sa
8,Adams 1967,Balanites aegyptiaca,family: Balanitaceae,Zygophyllaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.3,7,NA,NA,NA,NA,NA,133.41,NA,NA,NA,NA,0.09,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,13.15,34.33,47.244,439,clay,Cl,F,NA,301.11,15.13,73.82,198.06,310.95,290.45,20.5,300.08,300.25,303.75,299.0333,0.178,0,134.5661,0.414,0,0.114,0,0.62,2.237,0.28,0.018,1,11,0.018,1.702,D,S,sa
9,Adams 1967,Acacia mellifera,,Fabaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.6,15,NA,NA,NA,NA,NA,282.74,NA,NA,NA,NA,0.02,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,14.44,33.98,24.711,439,clay,Cl,F,NA,301.46,16.49,69.29,260.72,312.85,289.05,23.8,301.85,298.95,304.65,297.8333,0.115,0,144.7999,0.258,0,0.045,0,0.55,2.268,0.24,0,0,12,0,1.953,D,S,sa
10,Ahmet Birand 1938,Achillea wilhelmsii,Achillea santolina,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.11,0.14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.39,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
